possession_team,went_for_it
ARI,0.24786324786324787
ATL,0.1415929203539823
BAL,0.1171875
BUF,0.19
CAR,0.2733812949640288
CHI,0.21296296296296297
CIN,0.13333333333333333
CLE,0.18238993710691823
DAL,0.2079207920792079
DEN,0.13114754098360656
DET,0.3106060606060606
GB,0.20634920634920634
HOU,0.13533834586466165
IND,0.216
JAX,0.2018348623853211
KC,0.168
LA,0.13709677419354838
LAC,0.2231404958677686
LV,0.175
MIA,0.24509803921568626
MIN,0.21818181818181817
NE,0.16296296296296298
NO,0.1487603305785124
NYG,0.22077922077922077
NYJ,0.17218543046357615
PHI,0.23214285714285715
PIT,0.12698412698412698
SEA,0.14035087719298245
SF,0.1111111111111111
TB,0.144
TEN,0.12612612612612611
WAS,0.21100917431192662
